x1 x2 x3 x4 x5 y
0.935536 -34.784098 -692.145167 3624.216995 -0.106312 3
0.005278 -73.37315 -156.237961 3144.835285 -0.560509 1
0.912177 -44.727784 -505.212911 3957.273347 -0.247752 3
0.242812 -57.817182 -957.013082 788.235544 -0.365217 2
0.049434 -21.062784 -283.309275 2265.88183 -0.529995 1
0.629544 -52.349987 -989.924503 586.813719 -0.086254 3
0.435011 -8.16787 -601.31595 1293.734092 -0.187659 0
0.139505 -60.975988 -251.358076 2239.128053 -0.736242 3
0.672584 -16.128514 -590.546581 2571.103884 -0.578098 1
0.55897 -43.632858 -120.346758 3814.614663 -0.044346 3
0.767786 -30.312198 -830.155736 1053.215222 -0.197191 2
0.459929 -8.83194 -842.128161 3828.444064 -0.731776 0
0.359248 -2.527678 -866.659743 3526.39307 -0.940766 0
0.330602 -39.983399 -575.658464 4539.469262 -0.287362 2
0.344855 -4.607082 -254.211655 521.315083 -0.42415 1
0.568463 -16.936012 -711.076521 4323.158342 -0.047585 1
0.532714 -99.655618 -438.497788 2119.294812 -0.727017 3
0.729035 -15.131239 -534.952567 2871.208531 -0.534431 1
0.552155 -35.21367 -208.129948 3987.477502 -0.567046 3
0.757297 -17.674105 -138.083945 3475.167344 -0.064275 2
0.109765 -20.774223 -865.958604 2599.707872 -0.743097 0
0.786327 -28.931213 -464.053239 1652.231381 -0.416618 2
0.686153 -65.114717 -817.893772 3116.393967 -0.058158 3
0.702367 -71.330759 -125.593137 4495.785524 -0.443417 3
0.371043 -29.914348 -558.375839 3716.097601 -0.911132 1
0.753659 -51.714435 -594.646693 4514.377064 -0.086645 3
0.78689 -5.236486 -283.070382 3724.028839 -0.027181 1
0.943871 -19.345025 -393.207729 2834.646419 -0.981979 2
0.522817 -55.340923 -608.813508 1838.227614 -0.670048 3
0.898867 -81.604278 -236.554582 1826.973375 -0.495904 3
0.441772 -64.127667 -38.438508 11.128215 -0.600191 3
0.861547 -10.843194 -932.153663 4769.573211 -0.519047 0
0.855657 -72.333836 -300.537472 965.859694 -0.442556 3
0.038579 -97.010723 -997.194313 1318.94837 -0.041088 1
0.057782 -20.78702 -79.476766 1848.425383 -0.448292 2
0.723407 -22.84517 -850.493722 2122.305742 -0.161727 1
0.654768 -24.900012 -27.374105 2385.17296 -0.372753 3
0.012094 -29.765214 -459.269116 1173.184965 -0.109668 0
0.482525 -54.360413 -348.260057 3732.167801 -0.812658 3
0.477453 -10.49248 -240.054313 3480.647672 -0.789567 1
0.577 -28.170304 -915.305198 3707.345384 -0.976553 1
0.62156 -85.799707 -960.392209 4438.312397 -0.256935 3
0.473865 -20.01083 -574.98612 4525.037928 -0.345585 1
0.9945 -44.849769 -801.235811 1928.078114 -0.889123 3
0.743607 -95.265032 -631.014503 645.584491 -0.327077 3
0.87967 -83.573978 -111.562265 2731.371028 -0.519214 3
0.885557 -9.506463 -288.770895 4954.526008 -0.350218 1
